review,former_emp
"Company with great culture that always seeks to be always improving and innovating the solutions that are manufactured within the company, enabling a great work in conjunction with the teams making possible enormous learning of how a great technology company works.",0
The remuneration is not so good and it does not get much higher than the labor market and some cases of specific dismissals within the company are informed instantly without giving feedback to the employee.,0
"Always up-to-date payment, good working environment, health plan, food and meal vouchers, competent managers and understanding of the service.",0
"The company does not offer a job and salary or career plan, internal recruitment system is inconsistent and inefficient hiring system.",0
Relaxed atmosphere flexible hours comfortable environment freedom express your ideas Ambulatory doctor Nutritionist Popcorn in the afternoon,0
PLR low VA low VR Low Promotion usually takes Medical agreement for dependent Career plan Holiday PLR VA VR Promotion usually takes &quot;,0
"Career development opportunity, balanced and prosperous work environment for professionals who normally stand out in their work.",0
"Many managers who can not manage people, an old-fashioned work environment and who do not see the diversity of the 21st century professional.",0
"The climate of the marketing areas in general is incredible. I would say that Claro&#39;s great strength is people. Good location, and by having a lean structure you do not need to reach very high positions to be involved in large projects and with the largest partners in technology, innovation market.",0
"There is no career plan. Salary below market. Very inconsistent organizational structure, unclear company goals, high workload.",0
"Organization, great people, education and way of treating the employee, many job openings and especially attention by the incredible phone",0
"They take too long to recognize a good employee and when they acknowledge he gets stuck in his position for being good there, and they promote what has more time of home for time not for quality",0
We have great freedom of home office and flexibity of schedule (as long as the demands are delivered promptly!). The environment is good to work with!,0
Difficulty of promotions and salary increases. The process is heavily plastered and virtually there is only promotion when it is for resource retention.,0
"The company has good benefits, I am allocated in customer, and I do not have much to talk about the company&#39;s internal politics and culture, the company has payment on time, good benefits, VT, VR, VA, VC, has an agreement with some institutions education, entertainment, health, among others. Has health insurance, dental and life insurance with discount sheet.",0
"Difficult to open internal space for developer, the focus is Java. Difficult to get a salary negotiation, at least for those who stay in customer like me.",0
"Work schedule. Often this can be the most important, if the schedule is for you can go without fear. there are varied times some anger will fit with you.",0
Low benefits. The company always finds a way to discount anything. It has a quality sector that always takes money from employees.,0
"A few leaders are really good, they think humanly, payments are always up to date, very good team to work with, always striving",1
"some managers are only in the company for the account of family, there is no opportunity for career, many charges for little feedback, prevailing gambiarra culture for everything.",1
"The company values the employees and worries about their well being, providing benefits that really help in the day to day !!!",0
"Career is a delicate matter, since 99% of the positions are located in SP! You have to be willing to move, to grow and to get something new.",0
Among the positive points I highlight the benefits such as health plan and company culture of welcoming new professionals and whether people are starting in the job market.,0
Among the negative points I highlight the devaluation of the professional in the salary issue and the postponement of promotions of professionals qualified to work in higher positions. &quot;,0
"Great company, good chances of growth. Great customers, good knowledge in the retail industry. Freedom in some ways facilitates day by day.",1
"Swollen organizational structure. Traditionalist model, difficulty to change, mix in management. Precarious building structure. Politicagem leaves the scenario more complex and time consuming.",1
"At the Recife unit specifically the weather is quite relaxed, the people are excellent and engaged. The work is not so drawn and the quality of life is one of the strengths of the company.",0
"At least in Recife unit works with public clients and this makes working difficult. There is not much motivation to work on the projects because they are not challenging enough. Another serious problem of this unit is the disconnection with the general identity of the company. The headquarters has no characterization of brands, branding or anything that identifies the company. Sometimes we see that the other units scattered around Brazil have marketing actions, customized venues, social projects, etc. However, in Recife if a person enters the headquarters of the company will not know what it is or what the company is in fact. This is ridiculous.",0
High learning environment and competent and qualified people. With Active Business Partner model and partner of the,0
"It can improve in remuneration, the average value of remuneration is below the market, which impacts on the long-term permanence of some levels of position in the company.",0
"The most positive point is the people of the teams, who help each other a lot. Especially when it is allocated on the client, a lot of help for everyone to grow together",0
"HR does not know you exist, you can open called and send mail that they just can not help, this happened to many co-workers. The management does not care about customers or employees, they just want to know about SLA being fulfilled, I do not know what it&#39;s like to work inside (in uberlandia)",0
"every minute you make the most worth as hour bank, flexibility of schedules, cup to take lunch whenever you want, despite the flow in the kitchen.",0
"The company itself has a good idea, but the employees chosen to realize the growth of the team are very unmotivated, (multipliers), are unmotivated believe that accommodated and unfortunately the larger managers do not identify because the fearful team end up accepting for fear of losing the job and it ends up that the end customer service becomes of poor quality doing so the analysts work unhappy, that was the reason that leaves, much rotation for lack of training being that the work itself is very pulled.",0
"Flexibility of working hours, punctuality in payments, growth opportunity, a good number of benefits, including training courses and certified reimbursement.",0
"Poor management, low salary, few opportunities for growth, sloppiness with teams and differentiated treatments with employees who have just joined the company.",0
"Good work environment, development opportunity, on-time payments, experience with large clients and multinationals.",0
"Define a career plan for employees, improve the benefits, a lunchroom promote specialization for the staff",0
"Compensation and the jovial climate are strengths. In addition, the sales force is a benchmark in the market and the move to other areas and teams is encouraged by having them expand their knowledge by learning new things.",1
The company discloses a meritocratic environment but in practice it is evident the promotion by politicagem and simply networking. Management in general does not care about human capital.,1
Flexibility Dynamism Great customers Good customer feedback Affordable leadership Commitment to deliveries Honor your commitments,0
Needs greater integration between operational areas Needs greater investment in leading technologies and dissemination to operational teams Improve support areas &quot;,0
"A large company that has a range of opportunities, professional growth and according to the qualities, skills and qualifications according to the profile",0
"In general, the number of employees concentrated in the same space, causes, at times, a blur in procedures and even passing unnoticed communications failures",0
The team is extremely collaborative and helps you to solve the problems that arise during the day to day. Time management works very well and there are enough competent professionals,0
The HR and Executive part takes a long time to deliver on the promises that are made and these sectors are very messy causing several frustrations. Every time there is need to change benefit is a childbirth &quot;,0
"Great learning, structure, innovation and growth forecast. Great technological support with pcs of first line support face-to-face and online.",0
"Human resources totally disorganized, delayed in several aspects, VR, VA, online registrations among other things. With certain modifications, employee support will be perfect.",0
"Work environment is satisfactory, in addition there are also flexibilities that help in the personal life of the employee. Esquipes well prepared and engaged.",0
"Low recruitment of trainees, which prevents growth in the area in which they entered. Hiring often happens on other teams, with lower entry grids.",0
"Climate Committee, parties, relaxation classes, rest room, well organized cafeteria. Air conditioning very good. Organization of schedules.",0
"You do not have overtime, just hours bank. The salary could be better with overtime. There&#39;s a TV in the cafeteria. Few opportunities to grow.",0
"The company overall is cool. In my case, a good split up in the Flex bag (CLT Flex) and the manager responsible for the people care is committed and present.",1
"HR is a bit on the old line. Obey! You missed! I want this for yesterday! Unfortunately, in the few opportunities I had contact with them it was kind of like that. Support teams seem a little disgruntled, because the service is usually not the best.",1
"Career development, innovative products, high level of employees, flexibility of schedules, benefits above the market average",1
"Internal bureaucracy, focus on the short term, imbalance of resources between the various areas of the company, complex evaluation process and no practical results",1
"Tranquil and undisturbed environment, clarity in dealing with difficulties and search for resolution before any drastic attitude. You work in peace. Just have commitment and do your part.",1
"Until then we had a problem with air conditioning that took time to be resolved, the bad characteristics are only limited to this episode, which when resolved no longer left to be desired.",1
"Good structure and good growth opportunities. Pleasant, collaborative environment, with constant encouragement for improvement. Valorization of the professional.",1
"Many hours of work, not providing the leisure that is due to every human being. Pressure for travel and business outside the employee&#39;s home.",1
Pay all rights to employees. Always give courses to your employees. A well-run company and employees have free access to top-level people to try to solve something that is relevant.,0
There&#39;s a lot of bureaucracy to solve problems that are often small. Sometimes management is a bit lacking. Sometimes it decreases expenses from one side to another in the other. Wages are a bit low.,0
"Pay in day, has benefits like vt, vr, medical assistance, courses in the intranet, discounts with partner companies, end of year party very good.",0
"Lack of career path opportunities as a third in clients, perhaps working within the own stefanini opportunities would be better, but as third leaves to be desired.",0
"Very good company to work for, its culture is well founded among the employees and with that the environment to work is the best possible.",1
"The way they apply wage actions is still in need of evolution, but otherwise there is nothing to be said as they provide a framework for working very well for employees.",1
"Relaxed atmosphere, great professional learning, agreement with IT courses, flexible working hours and well-defined roles.",0
"Ticket meal less than the food values of the area in which the company is, should give employees opportunities for vacancies that arise rather than looking in the job market, allowing for internal career growth.",0
"Stability, it is very difficult for the company to send you away, if you perform the function you like and are satisfied with your salary is a company for you to work for years.",0
"Company with no career plan and no employee valuation, when a employee is able to move up, he continues to receive the same salary as the initial job.",0
"The company offered me the opportunity to start my IT career, but after some time observing how the management of the industry works it was clear that there is a lot to improve.",0
"The management is inconsistent, changes the alignment a lot. It is concerned only with the vision of the indicators and not with the actual satisfaction of the client or employees.",0
fixed in the north zone away from the transit of sao paulo has a good environment for coffee is a stable company accompanies the development of technology,0
"investment in training is not for all employees, few employees are trained to evolve technologies. Very swollen company, with lots of people who do nothing and lots of slow people.",0
"Opportunity for professional growth, nice people to work with. Opportunity for professional growth, nice people to work for",0
"HR far away from employees, managers are also very distant from the employees allocated to the client, HR delay to meet certain requests",0
"Relaxed work environment, competent technical staff, offers freedom to develop activities, encourages the creativity of participatory coordinating staff and integrated with the team.",0
"Little investment in the technical and human development of the employees, seeking in the market technicians with the competence they need and dispensing technicians whose competence is no longer of interest.",0
"Company of great name, which maybe positively influences in the beginning of the race. Opportunity for positive global trainings (when time available for the official to carry out such training)",0
"Company with a very precarious staff management of new employees. In addition to the VERY below average salary, it charges exorbitant commuting with no regard to the employee.",0
Opportunity to participate in good projects depending on your experience. Large company with good organization and structure.Add to the knowledge.,0
"The company is great to add experience in the CV because it has several clients and participates in several projects, however, if you are in a project and the same and there is no other opportunity, you have to go to the market. Overall good",0
"Gain experience and knowledge. Reallocation in other projects, if the project you are working on is finished. Possibility to change state.",0
Too much activity overload. Ineffective project and activity management. Tight deadlines that are imposed without parameters or definition metrics.,0
"Structured and well-defined processes, well assume the role of consulting, salary compatible with the market, has many clients in the national market.",0
"It still does not have the necessary footprint for the new moment of the technology area, focus on innovation should be the key word, hierarchical model with those managers who only simulate clients,",0
"Connection with the most modern, in terms of technology, to meet the needs of the largest companies in Brazil. Executive leadership with lots of experience and executive access to clients.",1
Complexity and lack of agility to work small projects (&lt;1M USD) and companies outside the list of the 100 largest in Brazil. The market is often not aware of Accenture&#39;s services portfolio or has had a negative experience.,1
"Company with numerous benefits and chances of growth, giving the participant the freedom to seek new areas for new experiences, job rotation.",0
"Sometimes the communication is a little slow, when the decision gets to the third level from you it is fast, more than it takes the returns. Especially when they are different websites, I believe there are too many formalities to solicit support from a co-worker.",0
"Organizational climate is a considerable differential of the Algar, where you have room to work and autonomy in the decisions that directly affect the company.",0
Career plan is not well designed and well executed. The promotability depends on the involvement with high management and not necessarily meritocracy.,0
flexible hours; certification and reimbursement plan; bonus on projects; evaluations every year; comfortable place of good infra to work.,1
"promotions to employees are rare; there is no career monitoring (paper only); evaluations are mere bureaucracy; in many years of work, the only salary increase I had was due to dissidence and it was not for lack of conversations.",1
"Great work environment, company that seeks more and more to make its employees feel more motivated and work with more practical processes. Many benefits, recognitions and salary according to the market.",0
It is very difficult for an employee to get a place to work in another sector within the company. It has many processes that are &quot;plastered&quot; but are improving over time and managements.,0
"Consulting with projects in large clients, which can be a motivator for beginners in the career, since they work with more modern technologies",0
"The issue of health care that is charged full-time for dependents, which for younger people is not a problem, for experienced and family employees is a factor that weighs heavily on the budget. You could review this policy",0
"Flexibility, stability, dynamism, good benefits. .",0
"lack of structure in the chain of command, and fumigation control training and training, and flow of information and feedback to employees and customers.",0
"Benefits of the company are excellent, especially Life Link and Pension Plan and health plan. Opportunity to carry out a vast list of trainings, to develop in your area or in a new one within the company. Career Opportunity.",0
"Many unprepared managers make it discourage sometimes from day to day, but depart from each area. In recent years there has been a reduction in the number of staff, and with this there was work overload, many overtime, most of which end up becoming hours bank.",0
Everything is very good at Algar! It has points to improve but it is very good to work!,0
"The salary could be a little better, the leaders have little experience and usually do not give the account!",0
A great company with great cliebtes and good common technical team. It is a great environment to learn a lot about the ITO and eata standards with a strong expansion in the cable area.,0
The company loses several promising talents for lack of proper employee recognition and a lack of technical expertise on the part of management. &quot;,0
Friendly work environment and nationwide company. Possibility of adding knowledge of several sectors of retail and areas.,0
Failure to recognize the work of some employees is discouraging. Important company sectors like HR and Personal Department are disorganized and leave a lot to be desired &quot;,0
"Good company for internships, has internal courses and staff willing to teach and pass knowledge. Some moments of celebration and interaction between employees of other sectors. Flexible working hours. Partnerships.",0
Location of the matrix away from the central region. Below average internship salary in relation to other companies. Worth the meal worth a bit out of the value of the restaurants in the area.,0
"The team is open to new solutions, I really like the team leader, he is a communicative person and he values the team. Opportunity to learn together with the team, interesting benefits for those who are starting in the market, and good reference by the name of the company and current technologies in the market.",0
"The staff is available to the client&#39;s company, my criticisms are related to the client&#39;s company, which does not provide basic conditions for the outsourced staff (good internet, refrigerator, microwave), the company&#39;s badge takes a long time to do, always delayed in the entrance, the computers made available are also not so good, although the machines are taken care of the employees themselves. I think the main thing would be for the company to take this care with the employees inside the clients&#39; company, so we will not be left to them.",0
"Freedom of work, flexible hours, excellent package of benefits like food, health insurance, life insurance and discounts in the companies.",0
"Many management positions, including directors. Wages below the market average. Lack of a strategic vision for the company in the long term. Some departments work in isolation and do not communicate well. Physical structure is not ideal.",0
The freedom to choose the technology that we will use if the staff agrees that it is advantageous,0
The relationship between older people and younger people. I do not feel like part of the team.,0
"Career planning, communication between areas, internal courses offered for better absorption within the company, feedback, management meetings",1
"RH, sometimes as we are allocated in the client we do not have the facility of some data, where it demands time and generates wear and tear with the people who stay in the operation",1
"It is a company that everyone is motivated, there are individual recognitions and the salary is very good. There are career plans and communication with top management is simple and happens.",1
"It can improve standardization among plants, have more defined processes and be charged for them. To get well you have to have a relationship",1
"Great company! relaxed atmosphere. differentiated location, employees with the young profile. company is always in contact with the collaborator through emails informing about the events and creating tools for the motivation and growth of the collaborator. Flexible working hours and a large part of the employees contribute to the climate that is currently satisfactory. The initial integration between the company and the employee gives the same a sense of position of the company where it works and that is makes a huge difference.",1
"Coordination is not very participatory and well reactive. managers often have more involvement than the coordinator. having knowledge of the size of the company, I believe that profit sharing could be better. the meal voucher does not meet the value of the region where the head office is located. and the Medical Agreement is co-participative. the distribution of the departments is favorable only to the managers (for us collaborators is terrible, as we are going up and down stairs and taking elevator). the company also does not promote and encourage employee integration.",1
"Healthy and balanced environment, with low pressure and great freedom to develop their work. Opportunity to work with new technologies and solutions of large scale, being allowed to propose innovative solutions. The office is well located.",0
"constant scheduling, and management. the process to grow in the company is very draining, and the official is not so well recognized.",0
"Work environment, flexible hours, location, people help each other a lot.",0
"Salary below the market, lack of documentation, everything is a priority, as we have a cafeteria on the site, we are left with little option for lunch.",0
"A young and dynamic company, excellent work environment, great teamwork, one helps the other and has great benefits.",0
"The lack of processes in the company make things a bit slow, there is no well-defined career plan.",0
"The company opens up space for professional growth, and open to diversity and inclusion, offers training for learning in several areas.",0
"They do not offer change from one city to another to all the employees who give qualified, only to the favorites of the same, thus demeaning who really has an interest in staying in the company.",0
"Good structure, good place to work.",0
Bad salary. No possibility of renegotiation.,0
Respect with people.Environment is wonderful. Company policy. The values. All very solid. The pillars well defined. I love working at Dell,0
Every business has opportunities for improvement. I would not know how to talk about a Dell improvement point. Concern for employee well-being begins in Chartered Bus and spreads through everything. &quot;,0
