review,former_emp
"The conviviality with some people is worth it. The location of the company is good, close to everything and in a neighborhood with plenty of lunch options. The salary is always paid on time.",1
"Poorly trained staff, poor management, excessive authoritarianism, lack of education on the part of managers, some leaders do not respect their subordinates. There is no meritocracy.",1
"Salary and benefits in the market average, Rh employees give good support to those who are allocated in clients and there are a large diversity clients",0
"Lack of feedback for employees allocated to clients, I work on customer, I have no contact with Resource and I feel like a client employee and I do not give Resource",0
Recognition for good commitment to work. Daily feedback on positive and negative points for personal improvement. Good relationship with managers. Semiannual awards reached by members.,1
"Little resolution of complaints made by the employee. After going through a selective process in the company, there is an excessive delay for salary change causing the associate to have the responsibilities of the new position, but with the salary of the previous one.",1
Benefits. Administrative structure. Well equipped offices. Very well prepared teams.,0
Excessive bureaucracy in day-to-day activities. &quot;,0
be a multinational company ... and also have an open market in the,0
"The main point is to say that there is no career plan, that is, there is no expectation of growth for those who do not have a relative or friend with expression within the company",0
Market compatible wage. The company takes care of the employee with attention to details such as commemorative days and birthdays. Access to various courses that add knowledge to the employee.,1
Direct access to HR is sometimes difficult. We become dependent on third parties when we are allocated to customers. Since emails and links are not always answered. &quot;,1
"Space for learning, the possibility of working in different projects allows us to know different industries and skills at all times. In addition to the investment in development that appropriate company does.",0
"Sometimes disloyal competition, potentiated by the evaluation process and variable remuneration. It discourages those who are less bold in self-promotion.",0
"The only positive thing I got in the company was the friendships that I made, because to work in this company have to be united with your team or you fall",0
"HR is a mess, late payment of reimbursement, payment of benefits wrong, to want to have a career plan has to pull someone&#39;s bag, small salary for a lot of work, if you do not take care you end up exercising more functions than presents your contract and they do not increase your salary and neither does the position change and if you complain is a reason for resignation, if you claim your benefits when they do shit and you complain the next day you already sign your resignation, happened to several people who worked with me.",0
A great company that gives you many benefits and allows you to understand what it intends to do for the suppliers that you are allocated which is very good!,0
"A great company that gives you great organizational learning. I worked as a Supplier, so I was more absorbed by the client&#39;s culture than the company itself &quot;",0
"Environment, locality, work",1
"People, managers, coordinators",1
"Environment, flexible hours, how to treat employees with many events on days such as children&#39;s day, Easter etc ... Organization of the company as a whole.",0
"The company does not have a robust road plan with constant growth opportunities, low pay",0
"Good salary average in the market, payment on time, reasonable benefits and possibilities of growth to make career in the company, location of easy access since it is in the center.",0
"There is a certain lack of disclosure of internships or other areas of the company, the opportunities disclosed are not always accessible.",0
"Good benefits, have challenging projects and provide great professional growth. Opportunity for growth is reality by merit.",0
"Leadership is not very well defined, the in-company mentoring program is random and does not seek to marry your and your mentor&#39;s skills.",0
"Good stability, the company has investments in new technologies through TOTVS Labs. Benefits are the market. The new headquarters is very cool, Google standard. Several units scattered throughout Brazil.",0
"Technological direction is exceeded ... Although the climate is cool in the matrix, in the units is not the same. Lack of clear direction with respect to innovations. Too much politics and little meritocracy. The bureaucracy is too big!",0
"Payment in day, and good benefits, internal work is very good because the benefits are better yet",0
"I&#39;m an outsider and I&#39;m a customer, so I find communication very flawed by TH.",0
Team that helps and seeks to seek results in the face of everyday difficulties,0
"There is a lack of career planning and management often becomes a bottleneck of information, as if there is no need for the lower ranking employee to contribute to the company",0
"There is no positive point, no healthy work environment, no cooperation or quality of life, no counterpart, only work and politics",1
"Environment of gossip, environment without motivation, forcing to be a pulls bag, without a financial counterpart, makes himself much and pays little, without a career path",1
"Large company, Organized policy. .",1
"Lack of career plan, performance evaluation, low salary, low food value because it does not fit with the work place which leaves much to be desired.",1
"Wages by day, Benefits, Great school. The company itself has a very good and still growing structure of management, which will improve even more.",0
"professional is very neglected by the management of the operation, causing an overload of Rh to motivate professionals (activities that should be done by management)",0
"People work very well as a team, it is common for people who leave the company to return after a while because of this friendship. It sucks to have to write 140 characters in order to send the sentence.",0
"Lack of transparency. You never have visibility of what is happening, when the client puts you on the wall and starts asking questions is embarrassing.",0
"Teamwork and relationship with contract leadership is very good, they always help and assist when possible. The ticket also has a satisfactory value. The people I worked with were excellent. You learn a lot by working here, both technically, both in the relationship with the client.",0
"As there are several contracts and you end up staying in some client, you end up staying away from the company itself, not participating in the company&#39;s culture, its growth and its internal opportunities. They&#39;re trying to make it better, but I still can not feel it.",0
"It was a cool place to work, there were interesting people in charge. The place was clean and the salary arrived on time. It was good there.",0
"The company does not listen to you, you are just a number and if you try to talk to a manager, he mocks you to the other clerks in private conversations.",0
"Freedom and flexibility, the company does not limit its ability to carry out activities.",1
Some sectors are highly inefficient.,1
"Company culture, good working environment in some areas and perspective of growth and career. It is a place where ethics is taken seriously, in compensation the valuation of people is increasingly in the background.",1
"Dell is becoming a company without identity due to being in constant change, without there being a structure ballast that sustains the changes. In operational areas, processes are plastered and people are limited to following what is proposed, with little role of participation.",1
Effortless and very capable team to meet the demands. Company offers several benefits and seeks to develop integration activities among its employees.,0
"Attempted implantation of the culture of the matrix in the branch that had different points. Teams sharing the same physical location (walking), generating noises that hinder development. Several requests for improvements are blocked by senior management.",0
"The company is excellent for those who want to learn and develop. You get in touch with what&#39;s best in the new era of Industry 4.0, countless cultures and great tools. The opportunity to add Skills to your career is very good.",0
"The evaluation is very bad, not prey to meritocracy, but politics. There is a risk of you getting into a project with poor leaders, especially those absorbed by BPS projects, who do not have the culture that the CIA preaches.",0
"A positive point is related to the benefits that is separated from the gross salary value, so you can divide the best way. The company has the opportunity to enter international careers",0
"I do not know much about the company because I am allocated a client in Taboão da Serra, but colleagues have had problems related to payment, and do not have a negotiation very favorable to the employee who is joining the company.",0
"Company with young concept, many trainings and open to discussions, respects its customers, does everything to serve its customers in a simple way.",0
There is not .,0
"Good salaries and benefits (above the market average) culture that promotes remote work, flexibility in schedules and inclusion initiatives for minorities.",0
"Very long career growth - the model is still that of the old generations, in which you have 10 years to advance in the company. A lot of bad people stay there for politics. Constant threat of losing the job due to cost cuts.",0
"An innovative company that values the associate and has several values and a culture of respect as the preservation of the Environment. It has snack, massage and some other services for members.",1
"The company itself pays much less than the others in the Algar group, so that you can get a position as an attendant, you have to pull a lot or have a good IQ. For this reason the company has few professionals able to differentiate qualities and take advantage of new talents.",1
"Internship program well structured and with careful selection, there is no excessive collection and the schedules are respected",0
"Stagnant company in the IT services market, ZERO stability, limited opportunities and no-job policy and salaries.",0
Company Resource helps a lot that officials have learned fast and become smarter.,0
Some officials had to live with the deaf.,0
"The benefits, and helps co-workers are nice makes the environment better, helps day care, ticket and cool, the plan is shared",1
"Slavery, do not decide the schedule and scales, can not be programmed with anything, can not make a college because one month works in the morning in the other works the afternoon and so it goes",1
"It is a very well-respected company in its field, has an excellent package of benefits and offers good training to its employees. It is always updating and its offices offer much comfort and practicality.",0
"The company emphasizes the value of the work of its employees in the success of their projects; however, the majority of managers do not share this idea since they only care about interacting with employees of the same level or who are very close to their own. Opportunities for growth do not happen by meritocracy but rather by the indication of friends and relatives. The average wage is below the market.",0
"Corporate benefits, gym, discount with several stores of various segments.We have gymnastics, coffee for free, cafeteria, atmosphere in Alphaville is relaxed.",1
"Must improve processes and charge more actions of managers, hierarchical escalation should work better, have too much boss in a single area or operation.",1
"Pleasant environment, people help in the difficulties freedom of learning training constant good weather. Good relationship with managers",1
benefits could be better sosoes help in the difficulties freedom of learning training constant good weather. Good relationship with managers,1
"Honor your day-to-day engagement with the associate and enable collaboration of ideas for improvements in the company&#39;s internal processes. Provides profit sharing to members, among others.",0
"Need to: Improve employee compensation. Improve the calculation of the stipulated goals for payment of the company&#39;s profit sharing, seeking individual and collective evaluation forms for each associate.",0
"flexible schedules, club, state of the art technology",0
"Career plan, leaders with backward thoughts.",0
"It is a company that empowers your employee and gives opportunities for growth within it, contributing to the benefits and well-being of the operator.",0
"Some &quot;senior&quot; positions are exercised by persons incapacitated for the designated function, thus taking actions taken and turned to the &quot;personal&quot; side rather than the &quot;professional&quot; side.",0
"I did not see positive points to the point of making me comment, only the RV and a good benefit but with the price of things of hj can not pass nor 15 days",1
"We have to fool people all the time to sell lines that they do not want to be able to hit the targets. Absurd goals of 100 lines per vendor, even knowing that the market is saturated, the greed of the company wants to have the largest market share with lines that customers do not use",1
"Well positioned in the market and willing to grow in participation, through the relevant acquisitions that have been making. Ethics in the sense of adopting fair competition and also in the sense of not forcing use of proprietary solutions to its customers",0
"There is interest and determination, but there is something to be done to move, in fact, from a structure focused on direct sales to a structure that more supports sales through channels and business partners",0
"The company has a great process of valuing human capital, invests in technology, tools, training and prioritizes the professional regarding the relocation process.",0
The company needs to give more focus and agility to immediate customer requests to avoid wasting talent.,0
Salary in day and something like career plan,0
"Ericsson of the Technological Park of São José dos Campos is not part of the real Ericsson. It is a company cut off from civilization, full of trainees, low wages and unorganized management.",0
"Infrastructure super renewed, opportunity of intra-entrepreneurship depending on the area, many opportunities in the areas of the company itself, contact with technology.",1
"Culture very relational and little meritocratic, leadership often resistant to change, many manual processes depending on the area, salary below the market when compared to companies of the same size.",1
"Freedom to perform 1 home office in the week, space for games like: video game, company adopted cool dress and released men work bermuda.",0
Very centralized company in the head office in MG and ends up tying the rhythm of the branches and consequently the associate can not develop his career with more opportunities,0
"Excellent events, teams with high technical level, quality stage programmed good conversion into effective, nice IT office architecture, quality gifts.",0
"Below-market compensation, uncompetitive benefits. Little margin for negotiation even if you want to stay in the company. &quot;Unprepared&quot; area management. Too much penalization promoting meaningless restructuring. Technology and Product often misplaced (at least on Bit Services)",0
"work climate very good, people are very collaborative. There are plenty of opportunities to learn new fronts and teams are very open to sharing knowledge. You can completely change your career and stay the same. company.",0
"There are many structural changes, and this undermines career planning. It is difficult to have creative and proactive thinking in an atmosphere of insecurity.",0
"Climate for employees who work internally, however, for employees who are allocated to customers, this is not taken into account.",1
"The employees who are allocated to customers do not feel part of the company, Totvs could find a way to improve this point.",1
"At Sonda, we have the possibility of flexible hours and autonomy to perform our function, besides a certain stability provided",0
"There is no plan of positions and salaries, the salary is low for comparison to the market, the internal systems and the integration of the several areas leaves to be desired",0
"Good company to work with. Good benefits, and a pleasant environment. Well located, and working with interesting technologies. The projects are varied. There is mobility.",1
"Salary leaves something to be desired. Career growth is slow, and sometimes people of strength are more valued than internal talents. Very large dependence on self-promotion.",1
Working in the area you study is very rewarding. Learning is giant. Worth Feeding. Impactful projects and that adds a lot in the professional life.,0
"Distance from company headquarters. With this distance, the company does not have a clear vision of the difficulties that we have and what we think of the company.",0
"Excellent benefits package, such as corporate medical and cellular agreement. Mobility to work out of the office. Good Motivational Campaigns",0
"Career plan, leaves a little to be desired ... very difficult to be recognized within the area that operates, however the company facilitates the transfer between areas which helps develop career and professional",0
"Payments up-to-date, benefits such as food / meal vouchers, health insurance, dentistry, large cafeteria, career plan with the possibility of working in several areas.",0
"Management exerted exaggerated pressure on supervisors and many (in my industry, I can not speak of other sectors) were dismissed without proper humanistic management which the company preaches to reach goals.",0
"It&#39;s a good place to work, people are cool, work is not boring, coexistence is quiet, activities done are quiet, but could improve.",0
"What everyone complains about: low salary, the 6x1 scale that could be different, a lot of collection and little assistance and of course, lack of growth opportunity.",0
Wednesday breakfast. Co-workers help each other. There is concern for employees when you need them. Sometimes flexible hours.,0
No stability. The employees do not care. Contract flex. Low pay. No health insurance. No transport. Without covenant. Unnecessary pressure &quot;,0
team work together and willing. Nice environment in branches. Nothing more to add as a positive point. Just that. With nothing to add.,0
"Benefits, low wages, lack of opportunity, protectionism, no chance of growth, incapacitated management, small business",0
"Consolidated company with many benefits for employees, great opportunities for growth. Great work environment with people who accept your suggestions.",0
"Because it is a big business, some things are very bureaucratic. There are many processes, which can take a little of your time in day to day. The company has a very good turnover, but the goals and the distribution of profits are not very favorable to the employees.",0
"Some opportunities to learn new things. Depending on the job sector the staff can be good. I do not see many good points, I think that by working with allocation we have the chance to be hired by a good company.",0
"It devalues employees, has no career plan, no PLR. The company lays down former employees to hire trainees and sells them as seniors.",0
"The culture of the company is very cool, we have several training and support to carry out the activities that we are proposed, I recommend Ericsson.",1
"Undue pressure due to the reduction in the number of employees, many are overburdened and stressed, this ends up hindering development.",1
Company seeks to have a good climate. Executives are very considerate and maintain an open door policy. Good facilities for work.,0
"Company has too much bureaucracy. The suggested improvements happen very slowly. The processes and decisions are managed by few people, there is a lot of centralization.",0
"Great learning, good company for beginners, good structure for learning, good company for beginners, good structure Great learning, good company for beginners, good structure",0
"Little chance of growth, earnings below the market Few chances of growth, earnings below the market Few chances of growth, earnings below the market",0
Robotic technologies Friendships of people of the same level of hierarchy Easy location possibility of stock purchases Has subsidiaries in other countries to work,0
"Very low wages, devaluation of employees Lack of opportunity for leadership careers does not encourage employees to grow",0
"It does not delay payments and benefits, well structured company, I generally like to work in the company, but could be better, with no prospect of growth.",0
"There is no supervision of superiors in the company. Career plan only happens on paper, I do not even receive email for a possible application in another vacancy.",0
"Flexible schedule, no punctuation, contact with foreign colleagues and practice of the English language daily. Possibility of moving abroad by the company.",0
"Many managers in each team, the ratio in relation to the number of employees is very high. Although you have a well-defined career plan and instructions on how to get promoted in the company, promotions do not happen quite clearly and people do not always agree with the way this issue is handled.",0
"Great package of benefits, excellent physical structure, education assistance, recognition in the market as a leader. Constant innovation in technology.",0
"With the growth of the company, new verticals were created to increase the billing and expand the client portfolio. However, the collection by results does not follow the planning carried out to achieve such result. This end up compromising the employee&#39;s performance.",0
Culture and well-defined values. People are collaborative and focused on improving what they do internally and for the client. Challenging projects,1
The company could fit to pay better wages or more competitive to the market. Another important point is the lack of clarity in the evaluation process,1
None. There is no way to think of any good points. The most messy company I&#39;ve ever worked on. Unfortunately I only have negative points from this company.,1
Company does not comply with what was agreed in the interview. From the first day until the last I had problems with benefits and the like. Any problem that the official has will always be called that takes 3 days to be answered and until the solution can take months. &quot;,1
- Flexible working hours - Home office bureaucratized - Good remuneration if you negotiate well - Pleasant environment and close to the subway,0
"- Does not have a career plan - Wage disparity to perform the same function - Standard benefits - At certain times, it is very customer-oriented and honors employees",0
"Work environment, home office, benefits, salary, challenges, work team, events, growth, projects, training and development",0
"Bureaucracy, management, communication of the manager, lack of opportunities in Curitiba, lack of preparation of some professionals, processes, quality of life",0
"Good stability, the company has investments in new technologies through TOTVS Labs. Benefits are the market. The new headquarters is very cool, Google standard. Several units scattered throughout Brazil.",0
"Technological direction is exceeded ... Although the climate is cool in the matrix, in the units is not the same. Lack of clear direction with respect to innovations. Too much politics and little meritocracy. The bureaucracy is too big!",0
"Company with young concept, many trainings and open to discussions, respects its customers, does everything to serve its customers in a simple way.",0
There is not .,0
"Pleasant environment, people help in the difficulties freedom of learning training constant good weather. Good relationship with managers",1
benefits could be better sosoes help in the difficulties freedom of learning training constant good weather. Good relationship with managers,1
"Good stability, the company has investments in new technologies through TOTVS Labs. Benefits are the market. The new headquarters is very cool, Google standard. Several units scattered throughout Brazil.",0
"Technological direction is exceeded ... Although the climate is cool in the matrix, in the units is not the same. Lack of clear direction with respect to innovations. Too much politics and little meritocracy. The bureaucracy is too big!",0
"Work environment, home office, benefits, salary, challenges, work team, events, growth, projects, training and development",0
"Bureaucracy, management, communication of the manager, lack of opportunities in Curitiba, lack of preparation of some professionals, processes, quality of life",0
